epoch,accuracy,loss,val_accuracy,val_loss
0,0.6091644167900085,0.402902215719223,0.7747163772583008,0.5505216121673584
1,0.8377358317375183,0.09822753071784973,0.8865478038787842,0.30551910400390625
2,0.874932587146759,0.07948730140924454,0.8460291624069214,0.4170044958591461
3,0.9180592894554138,0.05406543239951134,0.9076175093650818,0.3417683243751526
4,0.9121294021606445,0.06279437243938446,0.8508914113044739,0.6687144041061401
5,0.9428571462631226,0.0351686105132103,0.8849270939826965,0.3117801547050476
6,0.9482479691505432,0.03525451943278313,0.9092382788658142,0.34468603134155273
7,0.9504042863845825,0.03663640096783638,0.8995137810707092,0.310278981924057
8,0.9568732976913452,0.029996754601597786,0.9076175093650818,0.296159565448761
0,0.8894878625869751,0.10087799280881882,0.8330631852149963,0.5355607271194458
1,0.9126684665679932,0.0662219449877739,0.8200972676277161,0.8980399370193481
2,0.9067385196685791,0.06995552778244019,0.9157212376594543,0.25113558769226074
3,0.9530997276306152,0.03409110754728317,0.930307924747467,0.2462780475616455
4,0.9708895087242126,0.019480422139167786,0.9222041964530945,0.33038923144340515
5,0.973045825958252,0.02206910401582718,0.9286872148513794,0.27136752009391785
6,0.9681940674781799,0.02530420571565628,0.930307924747467,0.30313047766685486
7,0.9746630787849426,0.015208336524665356,0.9416531324386597,0.32313233613967896
8,0.9671158790588379,0.02486668899655342,0.9205834865570068,0.29062578082084656
9,0.9773585200309753,0.01504400372505188,0.9351701736450195,0.3938417136669159
10,0.9795148372650146,0.024934886023402214,0.9124797582626343,0.43059393763542175
11,0.9708895087242126,0.020493730902671814,0.9351701736450195,0.37757617235183716
12,0.9714285731315613,0.025287194177508354,0.9416531324386597,0.2525799572467804
13,0.991374671459198,0.009972031228244305,0.9157212376594543,0.44067421555519104
14,0.9886792302131653,0.007950055412948132,0.9416531324386597,0.23603761196136475
15,0.9822102189064026,0.012241688556969166,0.927066445350647,0.42153891921043396
16,0.974124014377594,0.018350673839449883,0.9465153813362122,0.2693377733230591
17,0.9568732976913452,0.03543615713715553,0.9238249659538269,0.34377288818359375
18,0.9757412672042847,0.021681703627109528,0.9157212376594543,0.33539536595344543
19,0.9800539016723633,0.01462456677109003,0.9238249659538269,0.38428738713264465
20,0.9881401658058167,0.01156426128000021,0.8849270939826965,0.6118060946464539
21,0.9843665957450867,0.01648172363638878,0.9222041964530945,0.3381670117378235
22,0.9795148372650146,0.015743982046842575,0.9416531324386597,0.23119314014911652
23,0.9919137358665466,0.006146295927464962,0.917341947555542,0.396632581949234
24,0.9908356070518494,0.007446893025189638,0.9384116530418396,0.2963469922542572
25,0.9940700531005859,0.005003506317734718,0.936790943145752,0.25909605622291565
26,0.9940700531005859,0.004053222015500069,0.9497568607330322,0.2526727020740509
27,0.9935309886932373,0.005383599549531937,0.9254456758499146,0.39097288250923157
28,0.9946091771125793,0.007024252321571112,0.9384116530418396,0.3385942578315735
29,0.99245285987854,0.007549630478024483,0.9416531324386597,0.265055775642395
30,0.986522912979126,0.008799685165286064,0.9384116530418396,0.3111710846424103
31,0.986522912979126,0.01138247363269329,0.927066445350647,0.2965026795864105
32,0.987601101398468,0.007132519036531448,0.9416531324386597,0.2186591923236847
33,0.9929919242858887,0.006844595540314913,0.9335494041442871,0.324204683303833
34,0.9935309886932373,0.0042869108729064465,0.9481361508369446,0.24764445424079895
35,0.995148241519928,0.003252982860431075,0.9481361508369446,0.28053227066993713
36,0.9919137358665466,0.0069658514112234116,0.936790943145752,0.4237157106399536
37,0.9822102189064026,0.01970326155424118,0.9351701736450195,0.3289390206336975
38,0.9859838485717773,0.015746790915727615,0.927066445350647,0.26731038093566895
39,0.9800539016723633,0.01402891706675291,0.9384116530418396,0.4043830931186676
40,0.99245285987854,0.006530200596898794,0.9384116530418396,0.23261255025863647
41,0.9973045587539673,0.0022893561981618404,0.9319286942481995,0.33081498742103577
42,0.998921811580658,0.0023260684683918953,0.9335494041442871,0.32060787081718445
43,0.9892183542251587,0.013294053263962269,0.917341947555542,0.5492786169052124
44,0.9725067615509033,0.02532888390123844,0.8978930115699768,0.5236082673072815
45,0.974124014377594,0.027770059183239937,0.9238249659538269,0.3772561252117157
46,0.9617250561714172,0.031468119472265244,0.940032422542572,0.33114516735076904
47,0.9881401658058167,0.007962459698319435,0.9384116530418396,0.3194478750228882
48,0.9897574186325073,0.00955476239323616,0.9384116530418396,0.2875402271747589
49,0.9919137358665466,0.006053104531019926,0.9497568607330322,0.2814549207687378
50,0.9946091771125793,0.0048796022310853004,0.9611021280288696,0.2555699646472931
51,0.9983827471733093,0.0016026757657527924,0.9529983997344971,0.3109396994113922
52,0.9967654943466187,0.00235897209495306,0.9529983997344971,0.29613059759140015
53,0.9973045587539673,0.0013213404454290867,0.9448946714401245,0.3595779538154602
54,0.9983827471733093,0.0011229522060602903,0.9578605890274048,0.3364947736263275
55,0.9908356070518494,0.008381444029510021,0.9497568607330322,0.31453123688697815
56,0.99245285987854,0.009647446684539318,0.9448946714401245,0.33022835850715637
57,0.99622642993927,0.0015854674857109785,0.9432739019393921,0.3773745000362396
58,0.99245285987854,0.004894700832664967,0.936790943145752,0.5306768417358398
59,0.9929919242858887,0.006385748274624348,0.9513776302337646,0.25686392188072205
60,0.9967654943466187,0.002189234597608447,0.9529983997344971,0.33716803789138794
61,0.9946091771125793,0.0032481332309544086,0.9481361508369446,0.38610684871673584
62,0.9935309886932373,0.00479918485507369,0.9384116530418396,0.31476908922195435
